"animal_id","species","breed","age","gender","size","color","declawed","housetrained","location","intake_date","spayed_neutered","name","scrape_date","scrape_time","days_since_intake","age_years","color_primary"
"50583945","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 3 months 10 days","Female","Large","Grey/White","No","Unknown","Dog Quarantine",2022-09-26,"","Estelle (Stella)",2022-10-13,2022-10-13 03:54:56,17,3,"Grey"
"50665687","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years 2 months 29 days","Male","Large","Black/White","No","Unknown","Foster Home",2022-07-14,"","Ridgely (Filipe)",2022-10-13,2022-10-13 03:54:56,91,10,"Black"
"50770042","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","8 months","Female","Small","Brindle","No","Unknown","Dog Intake",2022-10-11,NA,"Ellie",2022-10-13,2022-10-13 03:54:56,2,0,"Brindle"
"50775561","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 14 days","Female","Medium","Black/White","No","Unknown","Foster Home",2022-07-28,"","Lovable",2022-10-13,2022-10-13 03:54:56,77,2,"Black"
"50841298","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years 2 months 5 days","Male","Large","White/Black","No","Unknown","Doggie Den",2022-09-16,"","Zooby Doo",2022-10-13,2022-10-13 03:54:56,27,2,"White"
"50883686","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years 2 months","Male","Large","Black/White","No","Unknown","Doggie Town",2022-10-03,"","Tube Socks",2022-10-13,2022-10-13 03:54:56,10,2,"Black"
"50904080","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","7 years  1 month 27 days","Male","Large","Black/White","No","Unknown","Foster Home",2022-08-16,"","Henry",2022-10-13,2022-10-13 03:54:56,58,7,"Black"
"50908116","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","10 years  1 month 27 days","Male","Large","Brown/White","No","Unknown","Rover Refuge",2022-08-16,"","Huckleberry",2022-10-13,2022-10-13 03:54:56,58,10,"Brown"
"50972765","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years  1 month 18 days","Male","Medium","White/Black","No","Unknown","Doggie Town",2022-09-10,"","Kermit",2022-10-13,2022-10-13 03:54:56,33,4,"White"
"50989599","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 16 days","Male","Large","Black","No","Unknown","Foster Home",2022-08-27,"","Hugo",2022-10-13,2022-10-13 03:54:56,47,5,"Black"
"51004580","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","5 years  1 month 13 days","Male","Large","White/Blue","No","Unknown","Rover Refuge",2022-10-03,"","Bluebert",2022-10-13,2022-10-13 03:54:56,10,5,"White"
"51007214","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years  1 month 13 days","Female","Large","Brindle","No","Unknown","Doggie Town",2022-08-30,"","Gretchen",2022-10-13,2022-10-13 03:54:56,44,4,"Brindle"
"51018402","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years  1 month 12 days","Female","Large","Brown","No","Unknown","Foster Home",2022-08-31,"","Bamboo",2022-10-13,2022-10-13 03:54:56,43,3,"Brown"
"51020787","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","4 years  1 month 12 days","Female","Medium","Blue","No","Unknown","Mutt Hut",2022-08-31,"","Very Berry",2022-10-13,2022-10-13 03:54:56,43,4,"Blue"
"51033427","Dog","Mixed Breed, Medium (up to 44 lbs fully grown)/Mix","2 years  1 month 11 days","Female","Medium","Black","No","Unknown","Foster Home",2022-09-02,NA,"Evabeth",2022-10-13,2022-10-13 03:54:56,41,2,"Black"
"51036470","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","2 years  1 month 11 days","Female","Large","Blue/White","No","Unknown","Foster Home",2022-09-02,"","TugRope 4 (Lou)",2022-10-13,2022-10-13 03:54:56,41,2,"Blue"
"51036506","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year  1 month 11 days","Male","Large","Blue/White","No","Unknown","Foster Home",2022-09-02,"","TugRope 5 (Munster)",2022-10-13,2022-10-13 03:54:56,41,1,"Blue"
"51036514","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","4 years  1 month 11 days","Male","Large","Blue/White","No","Unknown","Foster Home",2022-10-08,"","TugRope 8 (Spiderman)",2022-10-13,2022-10-13 03:54:56,5,4,"Blue"
"51042450","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","1 year 10 days","Female","Large","Black/White","No","Unknown","Doggie Den",2022-09-03,"","Dream",2022-10-13,2022-10-13 03:54:56,40,1,"Black"
"51044662","Dog","Mixed Breed, Large (over 44 lbs fully grown)/Mix","3 years 21 days","Female","Large","Black/White","No","Unknown","Foster Home",2022-09-22,"","Gingersnap",2022-10-13,2022-10-13 03:54:56,21,3,"Black"
